0 0.0183156
0.1 0.0270518
0.2 0.0391639
0.3 0.0555762
0.4 0.0773047
0.5 0.105399
0.6 0.140858
0.7 0.18452
0.8 0.236928
0.9 0.298197
1 0.367879
1.1 0.444858
1.2 0.527292
1.3 0.612626
1.4 0.697676
1.5 0.778801
1.6 0.852144
1.7 0.913931
1.8 0.960789
1.9 0.99005
2 1
2.1 0.99005
2.2 0.960789
2.3 0.913931
2.4 0.852144
2.5 0.778801
2.6 0.697676
2.7 0.612626
2.8 0.527292
2.9 0.444858
3 0.367879
3.1 0.298197
3.2 0.236928
3.3 0.18452
3.4 0.140858
3.5 0.105399
3.6 0.0773047
3.7 0.0555762
3.8 0.0391639
3.9 0.0270518
4 0.0183156
4.1 0.0121552
4.2 0.00790705
4.3 0.00504176
4.4 0.00315111
4.5 0.00193045
4.6 0.00115923
4.7 0.000682328
4.8 0.000393669
4.9 0.00022263
5 0.00012341
5.1 6.70548e-05
5.2 3.57128e-05
5.3 1.86437e-05
5.4 9.54016e-06
5.5 4.78512e-06
5.6 2.35258e-06
5.7 1.13373e-06
5.8 5.35535e-07
5.9 2.4796e-07
6 1.12535e-07
6.1 5.00622e-08
6.2 2.18296e-08
6.3 9.33029e-09
6.4 3.90894e-09
6.5 1.60523e-09
6.6 6.46143e-10
6.7 2.54938e-10
6.8 9.85951e-11
6.9 3.73757e-11
7 1.38879e-11
7.1 5.05825e-12
7.2 1.80583e-12
7.3 6.31929e-13
7.4 2.16757e-13
7.5 7.28772e-14
7.6 2.40173e-14
7.7 7.7584e-15
7.8 2.4566e-15
7.9 7.62446e-16
8 2.31952e-16
8.1 6.91675e-17
8.2 2.02172e-17
8.3 5.79231e-18
8.4 1.62666e-18
8.5 4.47773e-19
8.6 1.20818e-19
8.7 3.19537e-20
8.8 8.28368e-21
8.9 2.10494e-21
9 5.24289e-22
9.1 1.28002e-22
9.2 3.06319e-23
9.3 7.18534e-24
9.4 1.65209e-24
9.5 3.72336e-25
9.6 8.22528e-26
9.7 1.78107e-26
9.8 3.78028e-27
9.9 7.86469e-28

